group	len	dose
BC	64.5642	IL-1β
BC	69.24321	IL-1β
BC	68.78783	IL-1β
BC	72.56532	IL-1β
BC	72.76569	IL-1β
BC	74.67853	IL-1β
MC	98.5129	IL-1β
MC	94.47378	IL-1β
MC	101.4309	IL-1β
MC	98.45443	IL-1β
MC	99.3745	IL-1β
MC	93.34243	IL-1β
MC	92.45757	IL-1β
MC	93.34442	IL-1β
MC	95.56766	IL-1β
MC	97.55474	IL-1β
MC	98.34646	IL-1β
MC	99.34524	IL-1β
PP	53.53547	IL-1β
PP	48.47078	IL-1β
PP	52.50839	IL-1β
PP	49.4956	IL-1β
PP	52.51365	IL-1β
PP	56.62424	IL-1β
PP	59.51666	IL-1β
PP	54.34677	IL-1β
PP	52.67685	IL-1β
PP	49.21123	IL-1β
PP	48.58679	IL-1β
PP	51.68952	IL-1β
PT	46.54299	IL-1β
PT	47.64304	IL-1β
PT	45.75513	IL-1β
PT	41.47885	IL-1β
PT	39.5443	IL-1β
PT	40.56753	IL-1β
PT	38.58965	IL-1β
PT	41.48906	IL-1β
PT	42.65354	IL-1β
PT	38.66699	IL-1β
PT	41.69463	IL-1β
PT	40.23721	IL-1β
AT	33.48883	IL-1β
AT	32.55879	IL-1β
AT	36.58211	IL-1β
AT	31.54525	IL-1β
AT	30.27841	IL-1β
AT	32.98613	IL-1β
AT	29.78134	IL-1β
AT	33.67482	IL-1β
AT	34.48291	IL-1β
AT	32.87565	IL-1β
AT	35.46542	IL-1β
AT	32.45643	IL-1β
APT	24.44219	IL-1β
APT	27.49259	IL-1β
APT	21.58888	IL-1β
APT	28.62875	IL-1β
APT	24.57574	IL-1β
APT	23.56856	IL-1β
APT	21.78563	IL-1β
APT	22.68756	IL-1β
APT	23.67868	IL-1β
APT	26.78965	IL-1β
APT	21.69676	IL-1β
APT	22.68764	IL-1β
